family	genus	species	CAAB
Chaetodontidae/Butterflyfishes	Chaetodon	auriga/Threadfin butterflyfish	Fishbase:5557
Holocentridae/Squirrelfishes, soldierfishes	Myripristis	kuntee/Shoulderbar soldierfish	Fishbase:7306
Labridae/Wrasses	Cheilinus	chlorourus/Floral wrasse	Fishbase:5598
Labridae/Wrasses	Coris	aygula/Clown coris	Fishbase:5624
Pomacanthidae/Angelfishes	Pomacanthus	imperator/Emperor angelfish	Fishbase:6504
Acanthuridae/Surgeonfishes, tangs, unicornfishes	Ctenochaetus	cyanocheilus/Short-tail bristletooth	Fishbase:59486
Chaetodontidae/Butterflyfishes	Heniochus	monoceros/Masked bannerfish	Fishbase:5590
Labridae/Wrasses	Cheilinus	trilobatus/Tripletail wrasse	Fishbase:5603
Labridae/Wrasses	Halichoeres	nigrescens/Bubblefin wrasse	Fishbase:58179
Labridae/Wrasses	Labroides	bicolor/Bicolor cleaner wrasse	Fishbase:5650
Lethrinidae/Emperors or scavengers	Lethrinus	ornatus/Ornate emperor	Fishbase:1866
Monacanthidae/Filefishes	Paraluteres	prionurus/False puffer	Fishbase:6560
Lethrinidae/Emperors or scavengers	Monotaxis	heterodon/Redfin emperor	Fishbase:68239
Pomacentridae/Damselfishes	Chromis	atripectoralis/Black-axil chromis	Fishbase:5450
